0x00000750: AUXADC_CON7
0x00000752: AUXADC_CON8
0x00000754: AUXADC_CON9
0x00000756: AUXADC_CON10
0x00000758: AUXADC_CON11
0x0000075A: AUXADC_CON12
0x0000075C: AUXADC_CON13
0x0000075E: AUXADC_CON14
0x00000760: AUXADC_CON15
0x00000762: AUXADC_CON16
0x00000764: AUXADC_CON17
0x00000766: AUXADC_CON18
0x00000768: AUXADC_CON19
0x0000076A: AUXADC_CON20
0x0000076C: AUXADC_CON21
0x0000076E: AUXADC_CON22
0x00000770: AUXADC_CON23
0x00000772: AUXADC_CON24
0x00000774: AUXADC_CON25
0x00000776: AUXADC_CON26
0x00000778: AUXADC_CON27
0x0000077A: ACCDET_CON0
0x0000077C: ACCDET_CON1
0x0000077E: ACCDET_CON2
0x00000780: ACCDET_CON3
0x00000782: ACCDET_CON4
0x00000784: ACCDET_CON5
0x00000786: ACCDET_CON6
0x00000788: ACCDET_CON7
0x0000078A: ACCDET_CON8
0x0000078C: ACCDET_CON9
0x0000078E: ACCDET_CON10
0x00000790: ACCDET_CON11
0x00000792: ACCDET_CON12
0x00000794: ACCDET_CON13
0x00000796: ACCDET_CON14
0x00000798: ACCDET_CON15
0x0000079A: ACCDET_CON16
0x00008000: RTC_BBPU
0x00008002: RTC_IRQ_STA
0x00008004: RTC_IRQ_EN
0x00008006: RTC_CII_EN
0x00008008: RTC_AL_MASK
0x0000800A: RTC_TC_SEC
0x0000800C: RTC_TC_MIN
0x0000800E: RTC_TC_HOU
0x00008010: RTC_TC_DOM
0x00008012: RTC_TC_DOW
0x00008014: RTC_TC_MTH
0x00008016: RTC_TC_YEA
0x00008018: RTC_AL_SEC
0x0000801A: RTC_AL_MIN
0x0000801C: RTC_AL_HOU
0x0000801E: RTC_AL_DOM
0x00008020: RTC_AL_DOW
0x00008022: RTC_AL_MTH
0x00008024: RTC_AL_YEA
0x00008026: RTC_OSC32CON
0x00008028: RTC_POWERKEY1
0x0000802A: RTC_POWERKEY2
0x0000802C: RTC_PDN1
0x0000802E: RTC_PDN2
0x00008030: RTC_SPAR0
0x00008032: RTC_SPAR1
0x00008036: RTC_PROT
0x00008038: RTC_DIFF
0x0000803A: RTC_CALI
0x0000803C: RTC_WRTGR
0x0000803E: RTC_CON
